Editora
CUORE
EDITORA ACATU
ESPIRAL
EDITORA MARCA PÁGINA
MAZA
SOWILO EDITORA
PÓLEN
PENNINHA EDIÇÕES
GRADIVA
EDIÇÕES NA LUA
EDITORA DSOP
BERLENDIR&VERTECCHIA EDITORES
EDITORA IMEPH
TELOS EDITORA
TRÊS ESTRELAS
EDEBÊ
SUINARA
PONTES EDITORES
ARMAZÉM DA CULTURA
AUTENTICA
AUTENTICA 
BESTBOLSO
GALERA
QUINTETO
ILUMINURAS LTDA.
ZIT
KIMERA
BAMBOLÊ
VIAJANTE DO TEMPO
MODERNO
EDITORA GALA
OURO SOBRE AZUL
DUMMAR
MORROBRANCO 
ROLIMÃ
RODAPÉ
RHJ EDITORA
ARTE & LETRAS
QUASE OITO
EDITORA DMR
EDELDRA
BAMBOOZINHO
SG-AMARANTE
EDIÇÕES DE JANEIRO
RODA & CIA EDITORA
PLANETA DAS CRIANÇAS
VALE DAS LETRAS
NOÉICA  EDITORA
ediPUCRS
PETRA
PATMOS 
CARLINI & CANTATO
CRIA EDITORA
FOLIA DE LETRAS
TORDESILHINHAS
M10 EDITORIAL
EDITORA CAIXOTE
ESTRELA CULTURAL
BERLENDIS&VERTECCHIA
COMPANHIA DAS LETRINHAS
COMPANHIA DAS LETRAS
AGÊNCIA O GLOBO
PITANGUÁ
NÓS
INSTANTE
TODAVIA
MOINHOS
MALÊ
MUNDARÉU
MIGUILIM
LOTE 42
TEXTO EDITORES
BR EDUCAÇÃO
JOAQUIM
CAMERON
TERRA SUL
FLORESCER
SGE
LDM
TORDESILHAS
PIGMENTO
EDIPUCRS
MINI PALLAS
VIGILIA
DSOP
BR
MAZZA
DELPHIS
IMPERIAL NOVO MILÊNIO
RODA & CIA
MGE
CARLINI & CANIATO
ZÉ - ZAPT
SIGNO
GAUDI
BOITATÁ
SOMOS
RICHMOND
SIEDUC
AVALIA EDUCACIONAL
EDIPASS
DUETTO
CRIADEIRA
TIMBÓ
MADREPÉROLA
DMR
RODOPIO
BERLENDIS & VERTECCHIA 
VESTÍGIO
CASA DOS MUNDOS
NOVA AGUILAR
DRAGON
TERRA DO SABER
TODAS AS LETRAS
GALERA JÚNIOR
CASA DAS LETRAS
FGV EDITORA
SB EDITORA
SISTEMA MAX DE ENSINO
ESTANTES DE LIVROS
PITANGUA
JC
CAROCHINHA
SISTEMA MAXI DE ENSINO
OLHO DE VIDRO
APAGINASTORE
JARDIM DOS LIVROS
NEMO
CRIADEIRA LIVROS
FIMAC
COMBOIO DA CORDA
REVIRAVOLTA
APAGINA
MIO EDITORIAL
LA
PALAVRAS
FNLIJ
UNIVERSO DOS LIVROS
GALERA 
BERLENDIS E VERTECCHIA
JOVENS ESCRITORES DO BRASIL
SABER LER
ZAPT EDITORA
MACMILLAN
AGAQUÊ
O GLOBO
QUADRINHOS NA CIA
KIT´S EDITORA
GALERA JUNIOR
RAKUN
EDIOURO PUBLICAÇÕES 
DOMO 72
UNIVERSO
MOVIMENTA
ESTANTE DE LIVROS
PARABOLÉ
GUIA DOS CURIOSOS
LENDO E APRENDENDO
COMBOIO  DE CORDA
BICO DE LLACRE
JOANINHA
EDITORA DA PONTE
AGENCIA O GLOBO
CJT
TRGD
GALERA RECORD 
VIGÍLIA
FGV
CASA CULTURAL
MARY E ELIARDO
EDIPAR
MARCA PÁGINA
SOWILO
MIO CULTURAL
EDITORA BONIFÁCIO
MARCA PAGINA
TRIOTECA
APRENDE BRASIL
TRIBOS
JC EDITORA
BOM LER
AVALIA
LA FONTAINE
GUIA DOS CURIOSOS  COMUNICAÇÕES
M10
GALERIA SABER E LER
BRINQUE BOOK
MUSA
LIVROS DA RAPOSA VERMELHA
PALLAS MINI
EDIÇÕES SME
VR EDITORA
MAPA LAB
CIRANDA DAS LETRAS
EXCELSIOR
MIOLO MOLE
VASTO MUNDO
LIMIAR
CÁLIDA
PATUÁ
SAÍRA
JANDAÍRA
ÍMÃ EDITORIAL
TEXTO
MOSTARDA
CATAPULTA
EXPRESSÃO POPULAR
PÉ DA LETRA
EDIOURO LAZER E CULTURA
LUA AZUL
VERBAL EDITORIAL
ANTOFÁGICA
GATO LEITOR
MAMUTE
SEMENTE EDITORIAL
CARAMINHOCA
TIBI
MURC
ESTAÇÃO LIBERDADE
CASA DO LOBO
EDELBRAS
LA FONTE 
SEMENTE
PENNINHA
ROTA IMAGINÁRIA
PERSPECTIVA
AMELI
CASA DE VIRGÍNIA
PALLAS MÍNI
IKORÉ
VALER
CINTRA
FOCA NO LIVRO
PONTES 
CONHECIMENTO
PAE
SOLISLUNA
BOTATÁ
MUNDO LEITURA
QUINTAL
VITRINE EDITORA
GIOSTRI
MUNDO DA LEITURA
SULINA
M3 EDITORA
TRILHA EDUCACIONAL
VENTO FORTE
EMBU DAS ARTES
BADERNA LITERÁRIA
EDITORA INSTANTE
ESCRITURAS EDITORA
ZOUK
PLANETA DO BRASIL
D'NIRO
Luzeiro
SARAU DAS PRETAS
EDITORA DO AUTOR
MUNDARÉU - ED. MADALENA
VIA LEITURA
COBOGÓ
NOVO SÉCULO 
YELLOWFANTE
SELO NEGRO
PINAKOTHEKE
PAZ & TERRA
SHURIKEN/LITERARUA
ENTRELINHAS
ELO EDITORA
BON BINI
CAVALEIRO NEGRO
PRINCIPIS
MRN EDITORA
URUTAU
PENSARTE
ME PARIÓ REVOLUÇÃO
HEDRA EDUCAÇÃO LTDA
TABLA
MOVpalavras
NANABOOKS
LIVRUS
HAMELYN
JUJUBA EDITORA
ROÇA NOVA
CEREJA
ZAPT
FLOREAR LIVROS
RODA&CIA
TÁDESOL TÁDELUA
COMUNIQUE
MOV PALAVRAS
MRN
MOVPALAVRAS
CALEIDOSCÓPIO
EDITORA PROJETO
CLB PRODUÇÕES ARTÍSTICAS
PÓ DE ESTRELAS
CARA DE PAVIO
EDITORA CUORE
ONÇA-PINTADA
RATINHO DE BIBLIOTECA
FATUM
MARTIM CLARET
IMÃ
PROMOBOOK
CAIXOTE
PAZ  E TERRA
MJIBA
INCOMPLETA
MUNDO DOS LIVROS
ALEPH
VALENTINA
LITERARUA
RODA E CIA
LABRADOR
KRAUSS
CAI-CAI
ÓZÉ
CULTURA EDITORIAL
WISDOM
M3 ARTE E EVENTOS
MG
W4
MERCURYO NOVO TEMPO
PADARIA DE LIVROS
VERBA EDITORIAL
KITEMBO
DIAN&SILVA
PEQUENA ZAHAR 
MUNDO LEITURA EDITORA
EDITORA VALENTINA 
EDITORA FTD S.A.
AGIR 
LIVROS COBOGÓ
OFICINA RAQUEL
EMBU DAS ARTES/ SARAU DO BINHO
CICLO CONTÍNUO EDITORIAL
MALÊ/FUNDZA
MINSKI
MIL CARAMIOLAS
LENDO  E APRENDENDO
JOANINHA EDIÇÕES
BC - BOCIANOSKI
SEI
BESTSELLER
KIT'S EDITORA
A PÁGINASTORE
SARAIVA SOLUÇÕES
EDITORA ANZOL
GAUDÍ 
MACMILLAN EDUCATION DO BRASIL
VITRINE
GALERA JÚNIOR RECORD
ARQUIPÉLAGO
BONIFÁCIO
MACMILLAN EDUCATION
MARIETA
BAZAR DO TEMPO
SABERES E LETRAS
PANTOGRAF
EDIÇÕES BARBATANA
7 LETRAS
EM PROSA & VERSO
FARIA E SILVA EDITORA
PÁGINAS EDITORA
TANTA TINTA
CANGURU
ALUMBRE
ROCQUINHO
VOOINHO
TACACÁ
PINGO DE LUZ
ZUCCA BOOKS
JOVEM
BARBATANAS
ARACARI
JAGUATIRICA
EL TIGRE STUDIO
GULLIVER
CACHECOL
D´NIRO
EDITH CHACON
PALLAS 
CRIVINHO
PAPAGAIO
HAPERCOLLINS
NSKIDS
INSTITUTO EMÍLUIA
GAUDÍ
ALUAR
SESI-SP
VR
ADONIS
A PREGUIÇA
JAPORAMA
CASA DE LETRAS 
FRANCO EDITORA
QUATROS CANTOS
EDITORA BRASILIENSE
EDITORA ADONIS
DANI DE BRITO EDITORA
PONTES LIVROS
JAPORAMA 
JBC
GLOBO ALT
PÓ DE ESTRELAS 
HARPERKIDS
ÉVORA
PASSARINHO
PÁ DE PALAVRA
EDITORA NOVA AGUILAR
AREIA DOURADA
FUNDAÇÃO PIERRE VERGER
EMBUSCADASARTES
CIRANDA NA ESCOLA
HECATOMBE
ROSA DOS TEMPOS
ELEFANTE
RELICÁRIO
FICÇÕES
UK'A EDITORIAL
FÓSFORO
HARPER COLLINS
TAO
DÉBORA GARCIA
EMBUscadasARTES
RELICÁRIO EDIÇÕES
GAUDI EDITORIAL
EDLAB PRESS
MOCHO EDIÇÕES
EDITORA LÊ
AEROPLANO
BRASIL TROPICAL
HAPPER COLLINS
