Tombo,Registro,Autor,Título,Procedencia,Exemplar,Coleção,Edição,Ano,Volume,Editora,Categorias,aquisicao
2010-11-11,20567,"MARINHO, João Carlos","CANECO DE PRATA, O",PNBE,1,Aventuras da Turma do Gordo,17a.,2008,-,GLOBAL,Lit. Infantojuvenil - Aventura,T
2010-11-11,20568,"FREITAS, Marcos Cezar de",MEMÓRIAS DE UM MENINO QUE SE TORNOU ESTRANGEIRO,PNBE,1,Astrolábio,-,,-,CORTEZ,Lit. Infantojuvenil - Ética,T
2010-11-11,20569,"GARCIA, Edson Gabriel","DIÁRIO DE BILOCA, O",PNBE,1,Entre Linhas - Adolescência,23a.,2003,-,ATUAL,Lit. Juvenil - Adolescência,T
2010-11-11,20570,"MACFARLANE, A. e MCPHERSON, A.",DIÁRIO DE UM ADOLESCENTE HIPOCONDRÍACO,PNBE,1,Infantojuvenil,-,2009,-,EDITORA 34,Lit. Juvenil - Adolescência,T
2010-11-11,20571,"SILVA, Flávia Lins e",AGITO DE PILAR NO EGITO,PNBE,1,-,-,2003,-,ZAHAR,Lit. Infantojuvenil - História,T
2010-11-11,20572,"CARROLL, Lewis",AVENTURAS DE ALICE NO PAÍS DAS MARAVILHAS,PNBE,1,-,-,2008,-,OBJETVA,Lit. Infantojuvenil - Clássicos,T
2010-11-11,20573,"LACERDA, Nilma",ESTRELA-DE-RABO E OUTRAS HISTÓRIAS DOIDAS,PNBE,1,-,-,2008,-,FRENTE,Lit. Infantojuvenil - História,T
2010-11-11,20574,"MANSUR, Guilherme",BICHOS TIPOGRÁFICOS,PNBE,1,-,-,2007,-,DUBOLSINHO,Poesia Infantil - Poesia Concreta,T
2010-11-11,20575,"CLAVER, Ronald (org.)","BOLA QUE ROLA, A",PNBE,1,-,-,2003,-,RHJ,Lit. Infantojuvenil - Futebol,T
2010-11-11,20576,"LOBATO, Monteiro",MEMÓRIAS DA EMÍLIA,PNBE,1,-,-,2007,-,GLOBO LIVROS,Lit. Infantojuvenil - Autores,T
2010-11-11,20577,"PAMPLONA, R. e BERNARDI JR., D.",OUTRAS NOVAS HISTÓRIAS ANTIGAS,PNBE,1,-,-,2009,-,BRINQUE-BOOK,Contos tradicionais universais,T
2010-11-11,20578,"RITER, Caio","TEINIGAGUÁ, A PRINCESA MOURA ENCANTADA",PNBE,1,Do arco-da-velha,-,2006,-,SCIPIONE,Contos tradicionais brasileiros,T
2010-11-11,20579,"SCHILLER, F. e KINDERMANN, B. (adap.)",GUILHERME TELL,PNBE,1,Literatura Universal,-,2007,-,CIA EDITORA NACIONAL,Lit. Infantojuvenil - Clássicos,T
2010-11-11,20580,"CUNHA, Marcelo Carneiro da",CODINOME DUDA,PNBE,1,No ar,10a.,2008,1,PROJETO,Lit. Juvenil - Aventura,T
2010-11-11,20581,"QUINTANA, Mário","VACA E O HIPOGRIFO, A",PNBE,1,Mário Quintana,3a.,2006,-,GLOBO,Poesia em prosa,T
2010-11-11,20582,"MURRAY, Roseana",NO MUNDO DA LUA,PNBE,1,Miguilim,-,2004,-,CIA EDITORA NACIONAL,Poesia Infantil,T
2010-11-11,20583,"JOSÉ, Elias",FORROBODÓ NO FORRÓ,PNBE,1,-,-,2006,-,MERCURYO JOVEM,Poesia Infantojuvenil,T
2010-11-11,20584,"AZEVEDO, Ricardo",NINGUÉM SABE O QUE É UM POEMA,PNBE,1,-,-,2009,-,ABRIL JOVEM,Poesia Infantojuvenil,T
2010-11-11,20585,"LEAR, Edward","ADEUS, PONTA DO MEU NARIZ!",PNBE,1,-,-,2005,-,HEDRA,Poesia Infantojuvenil - Limericks,T
2010-11-11,20586,"ODA, Teruko",JANELAS E TEMPO,PNBE,1,-,-,2003,-,ESCRITURAS,Poesia - Haicai,T
2010-11-11,20587,"LEMINSKI, Paulo","EX-ESTRANHO, O ",PNBE,1,Catatau,3a.,2009,-,ILUMINURAS,Poesia Brasileira,T
2010-11-11,20588,"PESSOA, Fernando e JOSÉ, Elias (org.)","AMOR BATE À PORTA, O",PNBE,1,Teens,2a.,2009,-,PAULUS,Poesia Portuguesa - trovas,T
2010-11-11,20589,"ANTUNES, Arnaldo",TUDOS,PNBE,1,-,7a.,2007,-,ILUMINURAS,Poesia Concreta,T
2010-11-11,20590,"BANDEIRA, Manuel",ANTOLOGIA POÉTICA,PNBE,1,-,12a.,2001,-,NOVA FRONTEIRA,Poesia Brasileira,T
2010-11-11,20591,"BANDEIRA, Manuel","CINZA DAS HORAS, CARNAVAL e RITMO DISSOLUTO",PNBE,1,Poesia Brasileira,-,2008,-,FRENTE,Poesia Brasileira,T
2010-11-11,20592,"PEREIRA, Otoniel S.",BICHÁRIO,PNBE,1,-,-,2007,-,SARAIVA,Poesia Infantil - bichos,T
2010-11-11,20593,"SORRENTI, Neusa",PINTANDO POESIA,PNBE,1,-,-,2008,-,AUTÊNTICA,Poesia Infantojuvenil,T
2010-11-11,20594,"RODANTE, Antonio","PASSARINHO PASSEOU NA AREIA DA PRAIA, UM",PNBE,1,Lazuli Infantil,-,2005,-,CIA EDITORA NACIONAL,Lit. Infantil - Letras,T
